,user,item,prediction
121,4,419,4.1581
122,4,348,4.1547
123,4,193,4.151
124,4,160,4.1493
125,4,252,4.1456
126,4,283,4.1399
128,4,162,4.1397
127,4,326,4.1397
129,4,380,4.1397
130,4,249,4.1386
131,4,138,4.1359
132,4,86,4.1339
133,4,73,4.1318
134,4,315,4.1307
135,4,107,4.1259
136,4,290,4.1257
137,4,121,4.1237
138,4,422,4.1213
139,4,92,4.1189
141,4,292,4.1184
140,4,394,4.1184
142,4,96,4.1174
143,4,72,4.1131
144,4,272,4.1096
145,4,16,4.1072
146,4,298,4.1012
147,4,377,4.1002
149,4,122,4.1
148,4,413,4.1
151,4,312,4.0989
150,4,318,4.0989
152,4,347,4.0984
153,4,379,4.0963
154,4,396,4.0962
155,4,175,4.0951
156,4,144,4.0914
157,4,84,4.0871
159,4,219,4.0869
158,4,270,4.0869
160,4,250,4.0838
161,4,158,4.0835
162,4,139,4.0778
163,4,424,4.0776
164,4,244,4.0774
165,4,288,4.0759
166,4,246,4.0718
167,4,293,4.0709
168,4,372,4.0685
169,4,437,4.065
170,4,296,4.0645
171,4,140,4.0603
172,4,441,4.0595
173,4,349,4.057
174,4,220,4.0557
175,4,401,4.0554
176,4,225,4.0535
177,4,119,4.0488
178,4,332,4.0475
180,4,28,4.0397
179,4,143,4.0397
181,4,426,4.0389
182,4,78,4.0347
183,4,414,4.0328
184,4,93,4.0299
185,4,263,4.0264
186,4,254,4.0248
187,4,55,4.0219
188,4,279,4.0218
190,4,241,4.0159
189,4,371,4.0159
191,4,397,4.0154
192,4,337,4.0133
193,4,61,4.013
194,4,339,4.0121
195,4,251,4.0108
196,4,213,4.009
197,4,159,4.0085
198,4,294,4.0033
200,4,216,4.0002
199,4,273,4.0002
201,4,19,3.9993
202,4,8,3.9975
203,4,208,3.9904
204,4,5,3.9893
205,4,428,3.9893
206,4,117,3.9868
207,4,289,3.9864
208,4,102,3.9812
209,4,243,3.9681
210,4,385,3.967
211,4,429,3.9639
213,4,47,3.9637
212,4,63,3.9637
214,4,53,3.9636
215,4,152,3.963
216,4,130,3.9627
217,4,427,3.9603
218,4,164,3.9589
219,4,23,3.9559
220,4,321,3.9528
221,4,432,3.9504
222,4,38,3.9482
223,4,196,3.9482
224,4,301,3.9452
225,4,350,3.9447
226,4,373,3.9381
227,4,406,3.9364
228,4,104,3.9343
229,4,299,3.9304
230,4,384,3.9297
231,4,211,3.9291
232,4,171,3.9273
233,4,105,3.9231
234,4,31,3.922
235,4,201,3.9195
236,4,364,3.9194
237,4,35,3.9192
238,4,154,3.915
239,4,410,3.9147
240,4,245,3.9142
241,4,110,3.9128
242,4,133,3.9117
243,4,182,3.9103
244,4,404,3.9103
245,4,258,3.9093
246,4,222,3.9052
247,4,416,3.9035
248,4,142,3.8984
249,4,266,3.8973
250,4,366,3.8968
251,4,408,3.8966
252,4,195,3.8954
253,4,365,3.8934
255,4,59,3.8928
254,4,83,3.8928
256,4,56,3.889
257,4,303,3.8879
258,4,81,3.8858
259,4,418,3.884
260,4,134,3.8794
261,4,434,3.8787
262,4,438,3.8765
263,4,77,3.8738
264,4,128,3.8721
265,4,214,3.8656
266,4,198,3.865
267,4,415,3.8637
268,4,398,3.8633
269,4,0,3.8556
270,4,48,3.8554
271,4,412,3.8541
272,4,392,3.8526
273,4,129,3.8515
274,4,137,3.8496
276,4,228,3.8491
275,4,336,3.8491
277,4,146,3.8473
278,4,221,3.842
279,4,118,3.8397
280,4,49,3.8394
281,4,215,3.8382
282,4,420,3.8372
283,4,452,3.8362
284,4,411,3.8352
285,4,409,3.8322
286,4,423,3.8254
287,4,375,3.8238
288,4,232,3.8222
289,4,205,3.8204
290,4,327,3.8194
291,4,51,3.8145
292,4,262,3.8127
293,4,189,3.8083
294,4,329,3.8074
295,4,433,3.8066
296,4,17,3.8021
297,4,314,3.801
301,4,101,3.8
298,4,325,3.8
300,4,383,3.8
299,4,402,3.8
302,4,443,3.7997
303,4,231,3.7939
304,4,187,3.7937
305,4,89,3.7928
306,4,282,3.7928
307,4,381,3.7904
308,4,389,3.7864
309,4,112,3.7848
315,4,11,3.7832
312,4,13,3.7832
311,4,21,3.7832
313,4,202,3.7832
314,4,206,3.7832
310,4,281,3.7832
316,4,124,3.7792
317,4,247,3.7775
319,4,65,3.7743
318,4,345,3.7743
321,4,103,3.7733
320,4,125,3.7733
322,4,391,3.7732
323,4,97,3.7718
324,4,322,3.7705
325,4,135,3.7699
326,4,43,3.7687
327,4,192,3.7681
328,4,145,3.7647
329,4,85,3.7645
330,4,407,3.7554
331,4,194,3.7552
332,4,174,3.7517
333,4,430,3.7512
334,4,260,3.7507
335,4,2,3.7491
336,4,106,3.7483
337,4,431,3.7455
338,4,378,3.7438
339,4,390,3.7416
340,4,126,3.7404
341,4,237,3.7374
342,4,370,3.7343
343,4,74,3.7274
344,4,75,3.7274
345,4,358,3.7249
346,4,150,3.7244
347,4,163,3.7238
348,4,180,3.7222
349,4,149,3.7165
350,4,168,3.7112
351,4,68,3.7096
352,4,355,3.7036
353,4,204,3.7028
354,4,328,3.7027
355,4,42,3.7
356,4,33,3.6992
357,4,45,3.6978
358,4,447,3.6963
359,4,257,3.6948
360,4,400,3.6924
361,4,155,3.692
362,4,319,3.6904
363,4,342,3.6879
364,4,191,3.6825
365,4,343,3.6765
366,4,147,3.6754
367,4,369,3.6752
368,4,183,3.675
369,4,302,3.6746
370,4,341,3.6725
371,4,448,3.654
372,4,123,3.6505
373,4,109,3.6489
374,4,151,3.6488
375,4,346,3.6401
376,4,36,3.6314
377,4,242,3.6299
378,4,360,3.6286
379,4,271,3.6278
380,4,351,3.6246
381,4,442,3.6246
382,4,1,3.6228
383,4,136,3.6222
384,4,176,3.6195
385,4,197,3.6193
386,4,50,3.619
387,4,18,3.6183
388,4,276,3.6055
389,4,309,3.6016
390,4,170,3.6
391,4,108,3.5998
392,4,386,3.5993
393,4,395,3.5923
394,4,6,3.5898
395,4,179,3.5872
396,4,30,3.5798
397,4,186,3.5753
398,4,67,3.5724
399,4,367,3.5677
400,4,32,3.567
401,4,169,3.5502
402,4,239,3.5376
403,4,46,3.5353
404,4,111,3.5351
405,4,26,3.5284
406,4,218,3.5282
407,4,436,3.5207
408,4,435,3.5156
409,4,57,3.5048
410,4,29,3.4962
411,4,27,3.4945
412,4,37,3.4857
413,4,356,3.467
414,4,9,3.458
415,4,64,3.4526
416,4,353,3.442
417,4,181,3.431
418,4,278,3.4275
419,4,259,3.4269
420,4,62,3.4202
421,4,153,3.4161
422,4,361,3.4157
423,4,287,3.4107
424,4,20,3.4
425,4,323,3.3976
426,4,209,3.3972
427,4,223,3.3941
428,4,25,3.3888
429,4,444,3.3701
430,4,15,3.3633
431,4,60,3.3591
432,4,403,3.3566
433,4,330,3.3064
434,4,451,3.296
435,4,24,3.2934
436,4,267,3.2922
437,4,41,3.2561
438,4,148,3.2429
439,4,39,3.2424
440,4,264,3.2268
441,4,115,3.1797
442,4,324,3.1678
443,4,10,3.1652
444,4,446,3.1411
445,4,277,3.1381
446,4,34,3.1146
447,4,12,3.0448
448,4,269,3.043
449,4,445,3.0424
450,4,450,3.0058
451,4,58,3.0002
452,4,114,2.8834
