+--------+----------+
|   item |   scores |
|    125 |   3.7184 |
|    126 |   3.7184 |
|    127 |   3.7184 |
|    128 |   3.7184 |
|    129 |   3.7184 |
|    130 |   3.7184 |
|    131 |   3.7184 |
|    132 |   3.7184 |
|    133 |   3.7184 |
|    134 |   3.7184 |
|    135 |   3.7184 |
|    136 |   3.7184 |
|    137 |   3.7184 |
|    138 |   3.7184 |
|    139 |   3.7184 |
|    140 |   3.7184 |
|    141 |   3.7184 |
|    142 |   3.7184 |
|    143 |   3.7184 |
|    144 |   3.7184 |
|    145 |   3.7184 |
|    146 |   3.7184 |
|    147 |   3.7184 |
|    149 |   3.7184 |
|    154 |   3.7184 |
|    156 |   3.7184 |
|    157 |   3.7184 |
|    158 |   3.7184 |
|    159 |   3.7184 |
|    160 |   3.7184 |
|    161 |   3.7184 |
|    162 |   3.7184 |
|    163 |   3.7184 |
|    164 |   3.7184 |
|    165 |   3.7184 |
|    166 |   3.7184 |
|    167 |   3.7184 |
|    168 |   3.7184 |
|    169 |   3.7184 |
|    170 |   3.7184 |
|    171 |   3.7184 |
|    172 |   3.7184 |
|    173 |   3.7184 |
|    174 |   3.7184 |
|    175 |   3.7184 |
|    176 |   3.7184 |
|    177 |   3.7184 |
|    178 |   3.7184 |
|    179 |   3.7184 |
|    180 |   3.7184 |
|    181 |   3.7184 |
|    182 |   3.7184 |
|    183 |   3.7184 |
|    184 |   3.7184 |
|    185 |   3.7184 |
|    186 |   3.7184 |
|    187 |   3.7184 |
|    188 |   3.7184 |
|    189 |   3.7184 |
|    190 |   3.7184 |
|    191 |   3.7184 |
|    192 |   3.7184 |
|    193 |   3.7184 |
|    194 |   3.7184 |
|    195 |   3.7184 |
|    196 |   3.7184 |
|    197 |   3.7184 |
|    198 |   3.7184 |
|    199 |   3.7184 |
|    207 |   3.7184 |
|    210 |   3.7184 |
|    211 |   3.7184 |
|    213 |   3.7184 |
|    214 |   3.7184 |
|    215 |   3.7184 |
|    216 |   3.7184 |
|    220 |   3.7184 |
|    221 |   3.7184 |
|    222 |   3.7184 |
|    223 |   3.7184 |
|    224 |   3.7184 |
|    225 |   3.7184 |
|    226 |   3.7184 |
|    227 |   3.7184 |
|    228 |   3.7184 |
|    229 |   3.7184 |
|    230 |   3.7184 |
|    231 |   3.7184 |
|    232 |   3.7184 |
|    233 |   3.7184 |
|    234 |   3.7184 |
|    235 |   3.7184 |
|    236 |   3.7184 |
|    237 |   3.7184 |
|    238 |   3.7184 |
|    239 |   3.7184 |
|    240 |   3.7184 |
|    241 |   3.7184 |
|    242 |   3.7184 |
|    243 |   3.7184 |
|    244 |   3.7184 |
|    245 |   3.7184 |
|    246 |   3.7184 |
|    247 |   3.7184 |
|    248 |   3.7184 |
|    249 |   3.7184 |
|    250 |   3.7184 |
|    251 |   3.7184 |
|    252 |   3.7184 |
|    253 |   3.7184 |
|    254 |   3.7184 |
|    255 |   3.7184 |
|    256 |   3.7184 |
|    257 |   3.7184 |
|    258 |   3.7184 |
|    268 |   3.7184 |
|    283 |   3.7184 |
|    286 |   3.7184 |
|    288 |   3.7184 |
|    289 |   3.7184 |
|    290 |   3.7184 |
|    291 |   3.7184 |
|    292 |   3.7184 |
|    293 |   3.7184 |
|    294 |   3.7184 |
|    295 |   3.7184 |
|    296 |   3.7184 |
|    299 |   3.7184 |
|    300 |   3.7184 |
|    301 |   3.7184 |
|    302 |   3.7184 |
|    303 |   3.7184 |
|    304 |   3.7184 |
|    305 |   3.7184 |
|    306 |   3.7184 |
|    307 |   3.7184 |
|    308 |   3.7184 |
|    309 |   3.7184 |
|    310 |   3.7184 |
|    311 |   3.7184 |
|    312 |   3.7184 |
|    313 |   3.7184 |
|    314 |   3.7184 |
|    315 |   3.7184 |
|    316 |   3.7184 |
|    317 |   3.7184 |
|    318 |   3.7184 |
|    319 |   3.7184 |
|    320 |   3.7184 |
|    321 |   3.7184 |
|    322 |   3.7184 |
|    323 |   3.7184 |
|    324 |   3.7184 |
|    325 |   3.7184 |
|    326 |   3.7184 |
|    327 |   3.7184 |
|    328 |   3.7184 |
|    329 |   3.7184 |
|    330 |   3.7184 |
|    331 |   3.7184 |
|    332 |   3.7184 |
|    333 |   3.7184 |
|    334 |   3.7184 |
|    335 |   3.7184 |
|    336 |   3.7184 |
|    337 |   3.7184 |
|    338 |   3.7184 |
|    339 |   3.7184 |
|    340 |   3.7184 |
|    341 |   3.7184 |
|    342 |   3.7184 |
|    343 |   3.7184 |
|    344 |   3.7184 |
|    345 |   3.7184 |
|    346 |   3.7184 |
|    347 |   3.7184 |
|    348 |   3.7184 |
|    349 |   3.7184 |
|    350 |   3.7184 |
|    351 |   3.7184 |
|    352 |   3.7184 |
|    353 |   3.7184 |
|    354 |   3.7184 |
|    355 |   3.7184 |
|    356 |   3.7184 |
|    357 |   3.7184 |
|    358 |   3.7184 |
|    359 |   3.7184 |
|    360 |   3.7184 |
|    361 |   3.7184 |
|    362 |   3.7184 |
|    363 |   3.7184 |
|    364 |   3.7184 |
|    365 |   3.7184 |
|    366 |   3.7184 |
|    367 |   3.7184 |
|    368 |   3.7184 |
|    369 |   3.7184 |
|    370 |   3.7184 |
|    371 |   3.7184 |
|    372 |   3.7184 |
|    373 |   3.7184 |
|    374 |   3.7184 |
|    375 |   3.7184 |
|    376 |   3.7184 |
|    377 |   3.7184 |
|    378 |   3.7184 |
|    379 |   3.7184 |
|    380 |   3.7184 |
|    381 |   3.7184 |
|    382 |   3.7184 |
|    383 |   3.7184 |
+--------+----------+
